priority,address,bundle_id,runtime_status,recommended_action,sheet_jp,sheet_ko,current_static_text,expected_if_18_is_control,only_leading_ko_diff_vs_sheet,current_payload_hex,direct_18_E518,source_payload_hex,nul_run,next_control,control_adjacent_08_17,predecessor_address,predecessor_text,next_dialogue_address,next_dialogue_text,status,confidence
P1_direct_ext3_exact_text_control_adjacent,602DD1,scenario_602DBE,unverified,high_priority_batch_after_anchor_pass,おのれ……っ！！,이놈……！！,こ이놈……！！,이놈……！！,True,18E518B309010101,True,18F871F19109F044,2,1728,True,602DBE,네、　네놈　같은　애송이　따위가……！,602DE3,해냈다……！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,602E75,scenario_602E6C,unverified,high_priority_batch_after_anchor_pass,月光蝶である！！,월광접이다！！,こ월광접이다！！,월광접이다！！,True,18E518B0B30101,True,18F67CF79CF044,2,1728,True,602E6C,크크크크……！,602E86,뭐야！？　……으악！！,quarantine,unresolved
P4_direct_ext3_text_drift,602F07,scenario_602EF3,unverified,review_translation_and_runtime_by_bundle,あれだけ痛めつけておけば,저 정도로 타격을 입혀 놓으면,こ저　정도로　타격을　입혀　놓으면　더　이,저　정도로　타격을　입혀　놓으면　더　이,,18E51836FB01010101010101,True,18FAB3E1E747F0810B35F49D,1,,,602EF3,순조롭게　끝났군……。,602F14,이제　월광접은　못　쓰겠지。,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,602FD3,scenario_602FB7,unverified,high_priority_batch_after_anchor_pass,生かしてはおけない！！,살려둘 수는 없다！！,こ살려둘　수는　없다！！,살려둘　수는　없다！！,True,18E518B3200101010101,True,18CEF678F08CF891F044,2,0857,True,602FC1,너는　전투　의지를　낳는　근원이다！！,602FE2,……윽！,quarantine,unresolved
P5_non_direct_native_or_other,603048,scenario_603039,unverified,do_not_autofix_static_false_positive_possible,いや……,아니……,こ아니……,아니……,True,18F5C5F093,,18F28CF191,2,1728,True,603039,누구지？　포우……？,603057,샤아　대령님……,quarantine,unresolved
P4_direct_ext3_text_drift,603094,scenario_603079,unverified,review_translation_and_runtime_by_bundle,でも、このシミュレ－タ－には,"하지만, 이 시뮬레이터에는",こ하지만、　이　시뮬레이터에는　사이코뮤가,하지만、　이　시뮬레이터에는　사이코뮤가,,18E51819FE0101010101,True,18F25E07F362FE52F467,1,,,603080,샤아　대령님께　칭찬을　듣다니……,60309F,프로그램되어　있지　않습니다。,quarantine,unresolved
P2_direct_ext3_exact_text,6030B0,scenario_603079,unverified,second_batch_representative_runtime_test,サイコミュが使えれば,사이코뮤를 쓸 수 있다면,こ사이코뮤를　쓸　수　있다면,사이코뮤를　쓸　수　있다면,True,18E518B32B01010101,True,18FCEF17E0012BF03E,1,,,60309F,프로그램되어　있지　않습니다。,6030BA,더　잘　싸울　수　있을　텐데……,quarantine,unresolved
P2_direct_ext3_exact_text,603183,scenario_603177,unverified,second_batch_representative_runtime_test,どうしてシャアが,왜 샤아가,こ왜　샤아가,왜　샤아가,True,18E518B33401,True,18F900F7F117,1,,,603177,어째서야、　샤아！？,60318A,지구에　가야만　하는　거야！？,quarantine,unresolved
P2_direct_ext3_exact_text,6031FF,scenario_6031DD,unverified,second_batch_representative_runtime_test,……っ！！,……윽！！,こ……윽！！,……윽！！,True,18E518B54E01,True,18F19109F044,2,,,6031EF,그래서　이　액시즈를　떠나려는……,603207,こ설마　샤아는　아직도,quarantine,unresolved
P2_direct_ext3_exact_text,603207,scenario_6031DD,unverified,second_batch_representative_runtime_test,まさか、シャアはまだ,설마 샤아는 아직도,こ설마　샤아는　아직도,설마　샤아는　아직도,True,18E518B33A010101,True,18F84507F7F1F7AA,1,,,6031FF,こ……윽！！,603210,라라아를……,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,60326F,scenario_603266,unverified,high_priority_batch_after_anchor_pass,い、今のは……,"방, 방금 그것은……",こ방、　방금　그것은……,방、　방금　그것은……,True,18E518B33F010101,True,18040776F44BF191,2,1728,True,603266,으윽……,603281,……내　꿈？,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,6032C3,scenario_6032B0,unverified,confirm_current_text_then_rehome,よくもずけずけと人の心の中に入る！,감히 제멋대로 타인의 마음속을 들여다보다니！,こ남의　마음에　멋대로　들어오다니！,남의　마음에　멋대로　들어오다니！,,18E5181BD701010101010101010101010101,True,18F61974287428135005E00B05520CBF0F03,2,1728,True,6032B0,나를　망설이게　한　건　네놈이냐！！,6032E1,……부끄러운　줄　알아라、　속물！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,603307,scenario_6032F7,unverified,high_priority_batch_after_anchor_pass,ボクたちは……！！,우리들은……！！,こ우리들은……！！,우리들은……！！,True,18E518B345010101,True,18F279F762F60C03,2,1728,True,6032F7,기다려、　하만　칸！！,603319,그만둬、　하만！！,quarantine,unresolved
P4_direct_ext3_text_drift,603325,scenario_603319,unverified,review_translation_and_runtime_by_bundle,今の光景をアナタも見たんだろ！？,방금 전의 광경은 당신도 보았잖아！？,こ방금　광경、　당신도　봤잖아！？,방금　광경、　당신도　봤잖아！？,,18E5184AD10101010101010101010101,True,187605F35F15F809208A11F22E42F040,1,,,603319,그만둬、　하만！！,603336,우리는　서로　이해할　수　있어！,quarantine,unresolved
P2_direct_ext3_exact_text,6033A5,scenario_603399,unverified,second_batch_representative_runtime_test,やはりオマエは,역시 너는,こ역시　너는,역시　너는,True,18E518B34C01,True,18F66CF68F08,1,,,603399,하만　칸！！,6033AC,살아서는　안되는　인간이야！！,quarantine,unresolved
P5_non_direct_native_or_other,603403,scenario_6033F7,unverified,do_not_autofix_static_false_positive_possible,……………,……………,こ……………,……………,True,18F617F191,,18F617F191,2,,,6033F7,……하만！！,60340A,こ놓쳐버렸는가……,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,60340A,scenario_6033F7,unverified,high_priority_batch_after_anchor_pass,逃がしたのか……,놓쳐버렸는가……,こ놓쳐버렸는가……,놓쳐버렸는가……,True,18E518B350010101,True,18E01517FB99F191,2,1728,True,603403,こ……………,60341C,에너지　반응　감소！！,quarantine,unresolved
P2_direct_ext3_exact_text,60342A,scenario_60341C,unverified,second_batch_representative_runtime_test,コロニ－・レ－ザ－の動力遮断に,콜로니 레이저의 동력 차단에,こ콜로니　레이저의　동력　차단에,콜로니　레이저의　동력　차단에,True,18E518B352010101010101010101,True,18FA7D2AF91505AA57E3CAE1280C,1,,,60341C,에너지　반응　감소！！,603439,성공했습니다！！,quarantine,unresolved
P2_direct_ext3_exact_text,60344F,scenario_603446,unverified,second_batch_representative_runtime_test,今のうちにコロニ－・レ－ザ－を,지금 틈을 타 콜로니 레이저를,こ지금　틈을　타　콜로니　레이저를,지금　틈을　타　콜로니　레이저를,True,18E518B3550101010101,True,1876FAA1FA7D2AF91515,1,,,603446,좋아！！,60345A,제압한다！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,6034BB,scenario_6034AA,unverified,high_priority_batch_after_anchor_pass,ハマ－ンさまはどこにおられる！？,하만 님은 어디에 계시는가！？,こ하만　님은　어디에　계시는가！？,하만　님은　어디에　계시는가！？,True,18E518B35A0101010101010101,True,18FA29F34FF988351CF047F040,2,1728,True,6034B1,콜로니　레이저가！！,6034CF,……안　됩니다！,quarantine,unresolved
P2_direct_ext3_exact_text,603512,scenario_603507,unverified,second_batch_representative_runtime_test,よし、残るはギンガナム隊だけだ！,"좋아, 남은 것은 깅가남 부대뿐이다！",こ좋아、　남은　것은　깅가남　부대뿐이다！,좋아、　남은　것은　깅가남　부대뿐이다！,True,18E518B35F010101010101010101,True,18F49007E01FF3FCFCD554F86E03,2,,,603507,철수했나……,603522,こ각　기체는　콜로니　레이저를　지키면서,quarantine,unresolved
P2_direct_ext3_exact_text,603522,scenario_603507,unverified,second_batch_representative_runtime_test,各機、コロニ－レ－ザ－を守りつつ,각 기체는 콜로니 레이저를 지키면서,こ각　기체는　콜로니　레이저를　지키면서,각　기체는　콜로니　레이저를　지키면서,True,18E518B36001010101010101,True,18F11107FE8E15E03B274040,1,,,603512,こ좋아、　남은　것은　깅가남　부대뿐이다！,60352F,적　부대를　섬멸하라！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,603582,scenario_60356A,unverified,high_priority_batch_after_anchor_pass,コロニ－・レ－ザ－を制圧する！！,콜로니 레이저를 제압한다！！,こ콜로니　레이저를　제압한다！！,콜로니　레이저를　제압한다！！,True,18E518B3640101010101010101,True,18FA7D2AF91515F32EF1CBF044,2,084B,True,603574,콜로니　레이저에　접현시켜라！！,603594,……알겠습니다！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,6035D9,scenario_6035CF,unverified,high_priority_batch_after_anchor_pass,みんな、よくやってくれた！！,"모두, 아주 잘해 주었다！！",こ모두、　아주　잘해　주었다！！,모두、　아주　잘해　주었다！！,True,18E518B367010101010101010101,True,18F7C407F497F2A20B24F02CF044,2,1728,True,6035CF,작전　성공인가！！,6035F1,……뭐지！？,quarantine,unresolved
P2_direct_ext3_exact_text,60360D,scenario_6035FF,unverified,second_batch_representative_runtime_test,ティタ－ンズの艦隊が,티탄즈의 함대가,こ티탄즈의　함대가,티탄즈의　함대가,True,18E518B3690101,True,18FDC405F50117,1,,,6035FF,그라나다에서　긴급　통신입니다！,603615,이쪽으로　향하고　있답니다！,quarantine,unresolved
P4_direct_ext3_text_drift,60372D,scenario_60370D,unverified,review_translation_and_runtime_by_bundle,モビルス－ツ隊で敵の出足を止め、,"모빌슈트 부대로 적의 진격을 저지하고,",こ모빌슈트　부대로　적의　진격을　저지하고,모빌슈트　부대로　적의　진격을　저지하고,,18E518B37901010101010101010101,True,18FD7954167F056FE09315E0274707,1,,,603720,상대하려면　그　방법뿐이다。,60373D,콜로니　레이저로　단숨에　친다……,quarantine,unresolved
P4_direct_ext3_text_drift,60374D,scenario_60370D,unverified,review_translation_and_runtime_by_bundle,ハヤトとべラ君はそのつもりでいてくれ。,하야토와 베라 군은 그럴 생각으로 대비해 주게.,こ하야토와　베라　군은　준비해　두게。,하야토와　베라　군은　준비해　두게。,,18E5183BE10101010101010101010101,True,18F59D13F00261F7A44020F227FA660A,2,,,60373D,콜로니　레이저로　단숨에　친다……,60375F,こ아마도　이것이　마지막　전투가　될　것이,quarantine,unresolved
P4_direct_ext3_text_drift,60375F,scenario_60370D,unverified,review_translation_and_runtime_by_bundle,おそらくこれが最後の戦いになるだろう。,아마도 이것이 마지막 전투가 될 것이네.,こ아마도　이것이　마지막　전투가　될　것이,아마도　이것이　마지막　전투가　될　것이,,18E518B37C0101010101010101010101,True,18FAA7F622F4090539F27CF514F5AE0A,1,,,60374D,こ하야토와　베라　군은　준비해　두게。,603770,둘　다、　부탁한다。,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,603806,scenario_6037EE,unverified,confirm_current_text_then_rehome,大尉とあの人との間に何があったかを！,대위님과 그 사람 사이에 무슨 일이 있었는지를！,こ대위와　그　사이엔　무슨　일이　있었나！,대위와　그　사이엔　무슨　일이　있었나！,,18E5182BC10101010101010101010101,True,18F08EF5BD50F17F990C9AFB6D0E1503,2,082B,True,6037FF,봤습니다……！,60381B,……윽！！　카미유……,quarantine,unresolved
P2_direct_ext3_exact_text,603841,scenario_60382F,unverified,second_batch_representative_runtime_test,ハマ－ン・カ－ンがあんな風になって,하만 칸이 저런 식으로 되어버린 것은,こ하만　칸이　저런　식으로　되어버린　것은,하만　칸이　저런　식으로　되어버린　것은,True,18E518B38801010101010101,True,18FA292AF58DF9B6E173FB76,1,,,60382F,변명은　듣지　않겠습니다。,60384E,대위、　당신　탓입니다！！,quarantine,unresolved
P2_direct_ext3_exact_text,603894,scenario_60387F,unverified,second_batch_representative_runtime_test,アナタはハマ－ン・カ－ンと,당신은 하만 칸과,こ당신은　하만　칸과,당신은　하만　칸과,True,18E518B38D0101010101,True,18F80908FA292AF58D13,1,,,60388E,대위……,60389F,다시　한번　이야기를　나눠야　합니다。,quarantine,unresolved
P2_direct_ext3_exact_text,6038DF,scenario_6038BE,unverified,second_batch_representative_runtime_test,そう言ったのは、大尉！,"그렇게 말한 건, 대위님！",こ그렇게　말한　건、　대위님！,그렇게　말한　건、　대위님！,True,18E518B3910101010101,True,18F4267AF98307F08E03,1,,,6038CC,인류는　변해　갈　수　있다……,6038EA,당신　아니었습니까！！,quarantine,unresolved
P4_direct_ext3_text_drift,6038F2,scenario_6038BE,unverified,review_translation_and_runtime_by_bundle,なのに、大尉は過去に囚われて,"그런데도, 대위님은 과거에 얽매여",こ그런데도、　대위님은　과거에　얽매여　타,그런데도、　대위님은　과거에　얽매여　타,,18E51847ED01010101010101010101,True,18F74407F08E08F36C0CE2F8F2420B,1,,,6038EA,당신　아니었습니까！！,603902,사람과의　교류를　거부하고　있어요……,quarantine,unresolved
P4_direct_ext3_text_drift,603912,scenario_6038BE,unverified,review_translation_and_runtime_by_bundle,それじゃ、大尉が批判する重力に魂を,"그렇다면 대위님이 비판하는, 중력에 영혼을",こ그럼　대위가　비판한、　중력에,그럼　대위가　비판한、　중력에,,18E51819B201010101010101010101010101010101,True,18F422F2D207F08E17E3E4E170F1CBF0C00CE1FE15,1,,,603902,사람과의　교류를　거부하고　있어요……,603928,붙잡힌　사람들과　다를　게　없잖아요！？,quarantine,unresolved
P2_direct_ext3_exact_text,60399C,scenario_60398F,unverified,second_batch_representative_runtime_test,ハマ－ンがああなってしまったのは,하만이 그렇게 되어버린 것은,こ하만이　그렇게　되어버린　것은,하만이　그렇게　되어버린　것은,True,18E518B39A0101010101010101,True,18FA2917F3C6F5200BFAEBF44B,1,,,60398F,……확실히　그렇군。,6039AA,내게　책임이　있다고　할　수　있겠지。,quarantine,unresolved
P4_direct_ext3_text_drift,6039B6,scenario_60398F,unverified,review_translation_and_runtime_by_bundle,ならば、彼女をかつてのような心優しい,"그렇다면, 그녀를 과거처럼 마음씨 착했던",こ그렇다면、　예전의　상냥한　그녀로,그렇다면、　예전의　상냥한　그녀로,,18E5184AD201010101010101010101010101,True,18F67707F38315FB73F49E06E00BE0D5F45C,1,,,6039AA,내게　책임이　있다고　할　수　있겠지。,6039C9,사람으로　되돌리는　게　내　의무다。,quarantine,unresolved
P2_direct_ext3_exact_text,6039DB,scenario_60398F,unverified,second_batch_representative_runtime_test,はたして可能かどうかはわからんが、,"과연 가능할지는 모르겠다만,",こ과연　가능할지는　모르겠다만、,과연　가능할지는　모르겠다만、,True,18E518B39E01010101010101010101,True,18FB75F4F30EF8980831F124191707,1,,,6039C9,사람으로　되돌리는　게　내　의무다。,6039EB,해보겠네……　카미유。,quarantine,unresolved
P2_direct_ext3_exact_text,6039F8,scenario_60398F,unverified,second_batch_representative_runtime_test,ハマ－ンともうー度話をして、,"하만과 다시 한번 대화하여,",こ하만과　다시　한번　대화하여、,하만과　다시　한번　대화하여、,True,18E518B3A00101010101010101,True,18FA29F17A14F013E02EF60107,1,,,6039EB,해보겠네……　카미유。,603A18,크와트로　대위……！！,quarantine,unresolved
P2_direct_ext3_exact_text,603A5E,scenario_603A54,unverified,second_batch_representative_runtime_test,明日の戦いはどの陣営にとっても,내일의 전투는 어느 진영에게나,こ내일의　전투는　어느　진영에게나,내일의　전투는　어느　진영에게나,True,18E518B3A6010101010101010101,True,18F2310539F27FF087F4F4FB3720,1,,,603A54,……있어。,603A6D,최후의　결전이　될　거야……,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,603A7B,scenario_603A54,unverified,high_priority_batch_after_anchor_pass,……必ずヤツは介入してくる。,……반드시 녀석은 개입해 올 것이다.,こ……반드시　녀석은　개입해　올　것이다。,……반드시　녀석은　개입해　올　것이다。,True,18E518B3A8010101010101010101,True,18F191E00D74F2D408F532F9070A,2,0809,True,603A6D,최후의　결전이　될　거야……,603A8E,………………,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,603AD1,scenario_603AC4,unverified,confirm_current_text_then_rehome,彼女が出てきたらどうするの、アナタは？,"그녀가 나타면 어떻게 할 생각이야, 당신은？",こ그녀가　나오면　어쩔　거야、　당신은？,그녀가　나오면　어쩔　거야、　당신은？,,18E5181BD8010101010101010101010101,True,18F383176F0B32111CFA740507F809081D,2,0802,True,603AC4,……있잖아、　시그？,603AE7,……글쎄。,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,603AF3,scenario_603AE7,unverified,confirm_current_text_then_rehome,オレがあいつを殺すか……,내가 그 녀석을 죽이거나……,こ내가　그녀를　죽이거나……,내가　그녀를　죽이거나……,,18E5182C37010101010101,True,18F430FD21E00CF1E0F191,2,0809,True,603AE7,……글쎄。,603B03,……시그！？,quarantine,unresolved
P4_direct_ext3_text_drift,603B29,scenario_603B12,unverified,review_translation_and_runtime_by_bundle,実際に出会ってみないことには,실제로 맞닥뜨려 보기 전에는,こ실제로　만나보지　않으면,실제로　만나보지　않으면,,18E5180CB701010101010101010101,True,18F3BC0CF15BF15669F5261813F467,1,,,603B1E,이　나를　죽일지。,603B39,뭐라　말할　수　없어……。,quarantine,unresolved
P5_non_direct_native_or_other,603B43,scenario_603B12,unverified,do_not_autofix_static_false_positive_possible,………………,………………,こ………………,………………,True,18F617F617,,18F617F617,2,1728,True,603B39,뭐라　말할　수　없어……。,6043E1,우주세기　００７９년　１２월　중순。,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,604492,scenario_60447D,unverified,confirm_current_text_then_rehome,……ん、『中尉』？,"……음, '중위'？",こ……응、『중위』？,……응、『중위』？,,18E5182C3B0101010101,True,18F19119F4B5F559661D,2,080A,True,604486,내게　용건이란……,6044A1,오늘부로　내린　인사　명령이다。,quarantine,unresolved
P4_direct_ext3_text_drift,6044B2,scenario_6044A1,unverified,review_translation_and_runtime_by_bundle,本日をもってシグ・ウェドナ－少尉は,오늘부로 시그 웨드너 소위는,こ오늘부로　시그・웨드너　소위는,오늘부로　시그・웨드너　소위는,,18E5181D470101010101010101,True,18F2B3F9ADF50B2AFD0AF39D08,1,,,6044A1,오늘부로　내린　인사　명령이다。,6044C0,중위로　승진한다。,quarantine,unresolved
P4_direct_ext3_text_drift,6044CA,scenario_6044A1,unverified,review_translation_and_runtime_by_bundle,新編の戦隊でモビルス－ツ隊を,신편 전대에서 모빌슈트 부대를,こ신편　전대에서　모빌슈트대를,신편　전대에서　모빌슈트대를,,18E5184C590101010101010101,True,18E021E1B305F33316FD795415,1,,,6044C0,중위로　승진한다。,6044D8,지휘해　싸우게　될　거다。,quarantine,unresolved
P4_direct_ext3_text_drift,604545,scenario_604530,unverified,review_translation_and_runtime_by_bundle,いくら若いとはいえ、オマエさんだって,"아무리 젊다고는 하나, 자네 역시",こ아무리　젊어도、자네도,아무리　젊어도、자네도,,18E5181C510101010101010101010101,True,18F889E26CF7D4F25407F68FF366F649,1,,,604530,그렇게　겸손할　필요는　없지。,604556,북미　격전을　헤쳐　왔다。,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,60456A,scenario_604530,unverified,confirm_current_text_then_rehome,実力なら十分にある。,실력이라면 충분히 있어.,こ실력은　충분하다。,실력은　충분하다。,,18E5183C5A0101010101,True,18F2B9F515F08BF8BA0A,2,0801,True,604556,북미　격전을　헤쳐　왔다。,604579,하아……。,quarantine,unresolved
P4_direct_ext3_text_drift,60459D,scenario_604586,unverified,review_translation_and_runtime_by_bundle,我が軍が連邦に対して戦力の建て直しを,아군이 연방에 대항해 전력을 재정비하려는,こ아군이　연방에　대항해　전력을,아군이　연방에　대항해　전력을,,18E518C0FD0101010101010101010101010101010101,True,186A178F17F4250CE01BF413F38705E2D60BE066F3FB,1,,,604586,뭐、　다른　사정도　있어서　말이지。,6045B4,꾀하고　있는　건　알고　있겠지？,quarantine,unresolved
P2_direct_ext3_exact_text,6045F8,scenario_6045D2,unverified,second_batch_representative_runtime_test,そのためのデ－タを収集するのに,그것을 위한 데이터를 수집하는 데,こ그것을　위한　데이터를　수집하는　데,그것을　위한　데이터를　수집하는　데,True,18E518C102010101010101010101,True,18FCF1F5D215E0C6E091F1CB050C,1,,,6045E3,정식　채용이라는　게　있어서　말이지……,604607,우리　부대가　뽑힌　거다。,quarantine,unresolved
P2_direct_ext3_exact_text,604658,scenario_604639,unverified,second_batch_representative_runtime_test,で、そのニュ－タイプというのが,"그래서, 그 뉴타입들이라는 게",こ그래서、　그　뉴타입들이라는　게,그래서、　그　뉴타입들이라는　게,True,18E518C108010101010101,True,181607F423FD6CF6640517,1,,,60464C,우수한　뉴타입들이라더군。,604664,너와　비슷한　나이대라서　말이지……。,quarantine,unresolved
P4_direct_ext3_text_drift,604675,scenario_604639,unverified,review_translation_and_runtime_by_bundle,同世代ならうまく彼らとも付合っていける,동세대라면 그들과도 잘 어울릴 수 있을,こ동세대라면　그들과도　잘　어울릴　수　있,동세대라면　그들과도　잘　어울릴　수　있,,18E518C10A0101010101010101010101010101010101,True,18D0E03CE0F2F515F6AB95F05620E063B4F15604F4A2,1,,,604664,너와　비슷한　나이대라서　말이지……。,60468C,시그　중위에게　대장을　맡기려는……,quarantine,unresolved
P4_direct_ext3_text_drift,6046B1,scenario_6046A2,unverified,review_translation_and_runtime_by_bundle,ブラ－ド中佐は自分にモビルス－ツ隊を,브라드 중령님은 저에게 모빌슈트 부대를,こ브라드　중령님은　저에게　모빌슈트　부대,브라드　중령님은　저에게　모빌슈트　부대,,18E518C10D0101010101010101,True,18F94AF4CA08F48A0CFD795415,1,,,6046A2,자、　잠깐만요！！,6046BF,지휘하라고만　하신　게　아니라……,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,6046CF,scenario_6046A2,unverified,confirm_current_text_then_rehome,ニュ－タイプたちの面倒まで見ろと！？,뉴타입들의 뒤치다꺼리까지 맡기시는 겁니까！？,こ뉴타입들까지　돌보란　말입니까！？,뉴타입들까지　돌보란　말입니까！？,,18E518C10F0101010101010101010101,True,18FD6CF761E0B1E011F19D8A4213F040,2,080A,True,6046BF,지휘하라고만　하신　게　아니라……,6046E4,어이，,quarantine,unresolved
P2_direct_ext3_exact_text,6046FA,scenario_6046E4,unverified,second_batch_representative_runtime_test,できるだけ彼らとうまくやってくれと,가능한 한 그들과 잘 지내 달라고,こ가능한　한　그들과　잘　지내　달라고,가능한　한　그들과　잘　지내　달라고,True,18E518C1110101010101010101010101,True,18F64FF53D95F056F6ABF2A20B241B13,1,,,6046EB,그렇게　심각하게　생각하지　마。,60470B,뜻일　뿐이야。,quarantine,unresolved
P4_direct_ext3_text_drift,604716,scenario_6046E4,unverified,review_translation_and_runtime_by_bundle,隊員とのコミュニケ－ションは,대원과의 소통은,こ대원과의　의사소통은,대원과의　의사소통은,,18E5184C5B01010101010101010101010101,True,1854E016F17F5E647860E022102DE0BF1A08,1,,,60470B,뜻일　뿐이야。,604729,대장의　임무　중　하나잖아？,quarantine,unresolved
P4_direct_ext3_text_drift,60479A,scenario_604789,unverified,review_translation_and_runtime_by_bundle,『敵パトロ－ル部隊と遭遇。,『적 정찰 부대와 조우.,こ『적　정찰　부대와　조우。　지급히,『적　정찰　부대와　조우。　지급히,,18E5181A7D010101010101,True,18687FFC08F42813F1D70A,1,,,604789,플라나간　셔틀에서　긴급　통신입니다！,6047A6,즉시　지원군　파견　요망』……이상！！,quarantine,unresolved
P3_direct_ext3_control_adjacent_text_drift,604819,scenario_6047F4,unverified,confirm_current_text_then_rehome,他は、まだ……,다른 기체들은 아직……,こ다른　건、아직……,다른　건、아직……,,18E5182C3E01010101,True,18E0ED0807F195F191,2,0801,True,604803,중위　기체는　정비가　끝났지만……,604827,상관없다！　한　기면　충분해！！,quarantine,unresolved
P2_direct_ext3_exact_text,60486A,scenario_60484D,unverified,second_batch_representative_runtime_test,シグ・ウェドナ－中尉、,"시그 웨드너 중위,",こ시그　웨드너　중위、,시그　웨드너　중위、,True,18E518C12301010101,True,18F50B2AFD0AF55907,1,,,60485A,기다리고만　있을　순　없잖아요！,604874,우군　부대　구조를　위해　출격합니다！！,quarantine,unresolved
P2_direct_ext3_exact_text,6048B3,scenario_6048A9,unverified,second_batch_representative_runtime_test,……やれやれ。,……이런 이런.,こ……이런　이런。,……이런　이런。,True,18E518C12601,True,18F191F9FB0A,1,,,6048A9,……………。,6048BA,성급한　녀석이군……,quarantine,unresolved
P2_direct_ext3_exact_text,6048C3,scenario_6048A9,unverified,second_batch_representative_runtime_test,しかし、つい今の今まで,하지만 바로 방금 전까지,こ하지만　바로　방금　전까지,하지만　바로　방금　전까지,True,18E518C128010101010101,True,18F82807F04F760576F19D,1,,,6048BA,성급한　녀석이군……,6048CF,대장　얘기를　싫어하더니、,quarantine,unresolved
P2_direct_ext3_exact_text,6048E0,scenario_6048A9,unverified,second_batch_representative_runtime_test,まだ顔も合わせてない部下の,아직 얼굴도 보지 못한 부하의,こ아직　얼굴도　보지　못한　부하의,아직　얼굴도　보지　못한　부하의,True,18E518C12A010101010101010101,True,18F195E0AC20B4F868F526F37805,1,,,6048CF,대장　얘기를　싫어하더니、,6048EF,구하러　뛰쳐나가다니……,quarantine,unresolved
P2_direct_ext3_exact_text,604901,scenario_6048A9,unverified,second_batch_representative_runtime_test,……意外に隊長職も,……의외로 대장직이,こ……의외로　대장직이,……의외로　대장직이,True,18E518C12C010101010101,True,18F191F0D20CF0CAE33920,1,,,6048EF,구하러　뛰쳐나가다니……,604924,어떤가、　그렇게　생각하지　않나？,quarantine,unresolved
P4_direct_ext3_text_drift,6049C7,scenario_6049B0,unverified,review_translation_and_runtime_by_bundle,フラナガンのシャトルだな！？,플래너건의 셔틀이 맞나！？,こ플라나간의　셔틀이　맞나！？,플라나간의　셔틀이　맞나！？,,18E518C1360101010101,True,18FCFA05FBA3F549F040,1,,,6049BB,시그　웨드너　중위다！！,6049D2,구조하러　왔다！！,quarantine,unresolved
P2_direct_ext3_exact_text,6049DB,scenario_6049B0,unverified,second_batch_representative_runtime_test,もうすぐ本隊が到着する。,곧 본대가 도착할 것이다.,こ곧　본대가　도착할　것이다。,곧　본대가　도착할　것이다。,True,18E518C138010101010101,True,18FA37F27217F323F1CB0A,1,,,6049D2,구조하러　왔다！！,6049E7,그때까지　어떻게든　버텨라！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,604A99,scenario_604A89,unverified,high_priority_batch_after_anchor_pass,ハッチを開けてくれ。出るぞ！！,해치를 열어다오. 나가겠다！！,こ해치를　열어다오。　나가겠다！！,해치를　열어다오。　나가겠다！！,True,18E518C1430101010101010101,True,18F6A715CDF9850A6FF3EFF044,2,0891,True,604A89,……그렇다면　문제없겠군。,604AAB,아、　이봐！！,quarantine,unresolved
P2_direct_ext3_exact_text,604AC9,scenario_604ABF,unverified,second_batch_representative_runtime_test,ずいぶん頼りない動きだが……,상당히 불안정한 움직임인데……,こ상당히　불안정한　움직임인데……,상당히　불안정한　움직임인데……,True,18E518C145010101010101010101,True,18FB6CE07527F526AAF4F217F191,1,,,604ABF,……뭐지？,604AD8,설마　저게　플라나간의　뉴타입인가？,quarantine,unresolved
P5_non_direct_native_or_other,604AE7,scenario_604ABF,unverified,do_not_autofix_static_false_positive_possible,………………,………………,こ………………,………………,True,18F617F617,,18F617F617,2,,,604AD8,설마　저게　플라나간의　뉴타입인가？,604AEE,こ……이봐、　거기　돔！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,604AEE,scenario_604ABF,unverified,high_priority_batch_after_anchor_pass,……おい、そこのドム！！,"……이봐, 거기 돔！！",こ……이봐、　거기　돔！！,……이봐、　거기　돔！！,True,18E518C14701010101010101,True,18F191F24507F61A443FF044,2,1728,True,604AE7,こ………………,604B01,……윽！,quarantine,unresolved
